              0	  1	         SM0805	"R39"
          0.01u	  5	         SM0805	"C5, C6, C18, C20, C21"
           0.1u	 27	         SM0805	"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C27, C32, C33, C34, C35, C36, C42, C45, C46, C49, C50, C51, C52, C53, C54, C55"
           1.5k	  1	         SM0805	"R16"
             10	  1	         SM0805	"R29"
           100k	  2	         SM0805	"R27, R28"
            10k	 28	         SM0805	"R1, R4, R5, R6, R7, R8, R9, R10, R14, R23, R24, R25, R26, R32, R33, R34, R37, R38, R40, R41, R43, R44, R46, R48, R49, R50, R51, R52"
            10p	  2	         SM0805	"C24, C25"
      12.288MHz	  1	         HC49SM	"X1"
            120	  2	         SM0805	"R2, R11"
            12k	  1	         SM0805	"R36"
            15k	  1	         SM0805	"R19"
            18p	  2	         SM0805	"C1, C2"
             1k	  2	         SM0805	"R3, R56"
             1M	  2	         SM0805	"R12, R42"
             1u	  4	         SM0805	"C3, C4, C43, C44"
           2.2u	  4	         SM0805	"C37, C39, C40, C41"
             20	  2	         SM0805	"R30, R31"
             22	  2	         SM0805	"R20, R21"
            22k	  2	         SM0805	"R22, R57"
             27	  2	         SM0805	"R53, R54"
            27p	  2	         SM0805	"C28, C29"
        32768Hz	  1	         CFS206	"X2"
            36k	  1	         SM0805	"R15"
            3k3	  1	         SM0805	"R35"
           4.7u	  6	         SM0805	"C19, C22, C26, C30, C47, C48"	<10R
            470	  2	         SM0805	"R17, R18"
           470n	  1	         SM1206	"L1"
            47k	  1	         SM0805	"R13"
            47u	  1	         SM1206	"C23"
           8MHz	  1	         HC49SM	"X3"
          BC817	  2	          SOT23	"Q1, Q2"
         BSH121	  2	          SOT23	"Q3, Q4"
        CONN_28	  1	AMP_FPC_28_05MM	"P6"
         CONN_4	  1	 BTHQ128064AVD1	"P5"
           DOWN	  1	   SW_EVQQ2P03W	"SW7"
           FTDI	  1	       HEADER_6	"P7"
           HOLD	  1	      PCM12SMTR	"SW11"
           JTAG	  1	     header_smd	"P8"
         LED_RG	  1	          SOT23	"D1"
           LEFT	  1	   SW_EVQQ2P03W	"SW8"
           LINE	  1	JACK_LUMBERG_1503_13_VP3	"P9"
           LIPO	  1	         JUMPER	"B1"
         MCP102	  1	          SOT23	"IC9"
MCP1802T-3002I-OT	  1	        SOT23-5	"IC4"
      MCP73831T	  1	        SOT23-5	"IC2"
           MENU	  1	   SW_EVQQ2P03W	"SW4"
         PHONES	  1	JACK_LUMBERG_1503_13_VP3	"P10"
          RESET	  1	 SW_B3U-3000P-B	"SW3"	9962859
          RIGHT	  1	   SW_EVQQ2P03W	"SW9"
        SD_CARD	  1	 SD_CARD9186158	"IC3"
            SET	  1	   SW_EVQQ2P03W	"SW5"
   STM32F103RBT	  1	         LQFP64	"IC5"
       TPS76318	  1	        SOT23-5	"IC7"
       TPS76328	  1	        SOT23-5	"IC8"
             UP	  1	   SW_EVQQ2P03W	"SW10"
            USB	  1	MICRO_USB_1568026	"P2"
         VOL_DN	  1	 SW_B3U-3000P-B	"SW2"	9962859
         VOL_UP	  1	 SW_B3U-3000P-B	"SW1"	9962859
         VS1053	  1	         LQFP48	"IC1"
